Model,RMSE,MAE,R2
GradientBoosting,25681.802120844626,16484.05190230269,0.9140121368558988
Voting,27198.64025728941,16316.45854765076,0.9035548147675544
Bagging,28171.496132272223,17743.581986301368,0.896532015341539
Lasso,29354.707555299014,19701.55339319325,0.8876581213912762
RandomForest,29403.899488182,17705.066643835617,0.8872812861204018
Ridge,29966.95702799057,19392.96327239598,0.8829230349191686
HuberRegressor,30249.324941769697,17361.91901823671,0.8807062913992639
LinearRegression,30453.189390786483,20009.454880921832,0.8790929200374639
ElasticNet,30724.26755022415,19063.92219075639,0.8769308382721398
BayesianRidge,30972.69565710799,18843.44976779494,0.8749325843053506
MLP,33865.23283901301,20060.612761340577,0.8504817182135019
AdaBoost,34918.89353558212,25396.496573147066,0.8410329505143076
KNN,38088.37455338804,22062.250684931503,0.8108653743096553
DecisionTree,40644.62058611251,26742.212328767124,0.7846264763757864
SVR,88625.30832812871,59518.87757429238,-0.024004072851065095
